decision_id,date,eu_code,eu_desc,issue_type,before_hs6,after_hs6,release_policy,decision,rationale,decided_by,reviewed_by,source_round
ADJ-003-WL,2026-06-29,0610000;0620000;0640000;0650000;0700000;0290000,Tea/Coffee/Cocoa/Carob/Hops/Algae,GROUP_SUFFIX_FALSE_POSITIVE,(excluded by 0000 rule),restored,EXPORT_PRODUCT,accepted_applied,0000 suffix KHÔNG đủ để loại; đây là commodity có HS2012 + XK lớn (cà phê/trà VN/ID),cowork,applied@57f0722; user-signoff-optional,003
ADJ-003-GRP,2026-06-29,(58 parent/group rows),group headings,GROUP_EXPORT,specific anchor,not exported,EXPORT_CHILDREN_ONLY,accepted_applied,Parent group span nhiều HS6; con map riêng → không export parent,cowork,applied@57f0722; user-signoff-optional,003
ADJ-003-COFFEE,2026-06-29,0620000,Coffee beans,RAC_VS_COVERAGE,090111;090112;090121;090122,090111;090112,EXPORT_PRODUCT,accepted_applied,"Mặc định green/not-roasted (RAC, MRL áp lên hạt thô); roasted 0901.2x=processed — CHỜ user nếu muốn coverage",cowork,applied@57f0722; user-signoff-optional,003
ADJ-003-HOPS,2026-06-29,0700000,Hops,RAC_VS_COVERAGE,121010;121020,121010,EXPORT_PRODUCT,accepted_applied,121010 not-ground (RAC); 121020 ground=processed — CHỜ user,cowork,applied@57f0722; user-signoff-optional,003
ADJ-003-NUTS,2026-06-29,0120010..0120110,Tree nuts,IN_SHELL_VS_SHELLED,in-shell only,in-shell (default),EXPORT_PRODUCT,accepted_applied,Mặc định in-shell (RAC); shelled (0802.x2) — CHỜ user nếu coverage cần cả 2 dạng,cowork,applied@57f0722; user-signoff-optional,003
ADJ-003-SPICE,2026-06-29,0820xxx/0810xxx,Spices,WHOLE_VS_CRUSHED,whole only,whole (default),EXPORT_PRODUCT,accepted_applied,Mặc định whole/neither-crushed (RAC); crushed/ground — CHỜ user,cowork,applied@57f0722; user-signoff-optional,003
ADJ-003-CHERRY,2026-06-29,0140020,Cherries (sweet),SUBITEM_SCOPE,080921,080929,EXPORT_PRODUCT,accepted_applied,Dùng 080929 (sweet/other); KHÔNG thêm sour 080921 trừ khi policy gồm subitems — CHỜ user xác nhận,cowork,applied@57f0722; user-signoff-optional,003
ADJ-004-POLICY,2026-06-29,(nuts/spices/coffee/hops/cherry),trade-coverage policy,RAC_VS_COVERAGE,RAC-only default,TRADE_COVERAGE_PRIMARY (main)+CORE_RAC_ONLY (robustness),EXPORT_PRODUCT,accepted_applied,"GPT r4: không blanket RAC; main=coverage giữ cùng commodity-identity (in-shell+shelled, whole+crushed, seed+grain), coffee green baseline, hops 121010 baseline",cowork+GPT,applied@57f0722; user-signoff-optional,004
ADJ-004-STRAWBERRY,2026-06-29,0152000,(b) strawberries,DROPPED_COMMODITY_FIXED,(rớt khỏi release),081010,EXPORT_PRODUCT,accepted_applied,Luật '(b)..'/0000 loại nhầm leaf-commodity; thay bằng kiểm có-con-thật → strawberries vào lại release,cowork,applied@57f0722; user-signoff-optional,004
ADJ-005-COCONUT,2026-06-29,120050,Coconuts,RAC_WRONG_PROCESSED_FORM,080111,080119,EXPORT_PRODUCT,accepted_applied,080111=desiccated (chế biến); RAC dừa tươi=080119. Coverage: thêm cả 080111,Opus,applied@57f0722; user-signoff-optional,005
