paper,HS_level,product_scope,RAC_only_or_includes_processed,missing_MRL_handling,verbatim_quote,implication_for_our_policy
Drogue2012,HS6,apples & pears,**INCLUDES processed** (fresh + related processed products),default 0.01 mg/kg khi thiếu,"""...trade of apples and pears and related processed products""; ""five products: fresh apples (080810)...""; ""we replace the missing value by the default MRL""","ỦNG HỘ trade-coverage: bài MRL-commodity sát nhất GỒM processed-primary, KHÔNG RAC-only. Default-fill trùng dự án."
Ferro2015,HS6,243 ag products,"product-level, không phân biệt rõ RAC/processed",aggregate MRL→importer-product-year,"""matched 243 agricultural products to their corresponding harmonized system (HS) codes at the six digit""",HS6 là chuẩn; không hạn chế RAC-only.
Shingal2024,HS6,"EU pesticides, HS ch7 focus","HS6 product, không hạn RAC",default values cho missing,"""each product is mapped to an HS6-digit code""; ""product coverage is more focussed on HS Chapters 7""",HS6 chuẩn; không loại processed.
Fiankor2021,HS6,ag sector,"HS6, aggregate country-level",—,"""...HS6 digit categories...we aggregate this HS6 digit STCs to the country level""",HS6 chuẩn; mức gộp linh hoạt.
Curzi2020,HS6,ag NTM,"HS6-digit, firm price/quality",—,"""...tariff data are used at HS6-digit level""",HS6 chuẩn.
EU Reg 396/2005 (Art.20) — LEGAL,Annex I products,fresh + processed + composite (315 sp),"**RAC làm gốc, MỞ sang processed qua processing factor**",Art 18(1) default 0.01,"""applies to products...used as fresh, processed and/or composite food""; MRLs set for unprocessed (apples/tomatoes/wheat grain); for processed, ""MRLs applicable shall be those...for the relevant product covered by Annex I, taking into account changes...caused by processing"" (Art 20)",BẰNG CHỨNG PHÁP LÝ MẠNH NHẤT: MRL định nghĩa trên RAC nhưng áp lên processed qua processing factor → đúng mô hình TRADE_COVERAGE_PRIMARY + RAC sàn. Default 0.01 trùng dự án.
Otsuki2001,—,groundnuts/edible nuts (aflatoxin),**gồm processed + unprocessed** (Codex covers both),Codex/EU standard,"""Codex standard on total aflatoxin contamination in **processed and unprocessed food**""",Precedent: chuẩn áp cả processed + unprocessed.
Xiong2014,HS4/HS6,109 plant products,"map commodity→HS, dùng Codex MRL",Codex baseline,"""identify 109 plant products of which the commodity descriptions can be mapped with...the 4-digit [/6-digit]""",HS4/HS6 map; Codex chuẩn.
Fiankor2025,HS6 + firm-product,EU-Swiss agri-food MRL,product/HS6-level,—,"""...analysis at the firm-product level""; cites Shingal HS6-digit MRL harmonisation",HS6 chuẩn; mức firm-product khả thi.
Shingal/EhrichWeb2024,HS6,164 countries × 225 product groups,HS6 match trade; MRL apply 315 fresh+processed products,default values,"""MRL data mapped to HS6 to match trade data""; ""MRLs apply to 315 fresh and processed agricultural products""",HS6 chuẩn; processed included ở cấp regulation.
Nguyen2026 (ĐỐI THỦ VN),"HS4/HS6 (0901,1006)",Vietnam coffee + rice,**RAC standard áp ở mức bao trùm dạng buôn**; green coffee + milled rice,Homologa + Codex fallback,"""Green Coffee Beans (HS 0901.11) account for 97.6% of total coffee volume, while Milled and Broken Rice (HS 1006.30/40) collectively comprise 97.9%""; ""applying the Raw Agricultural Commodity (RAC) standard to the HS4 aggregate correctly identifies the binding regulatory""","XÁC NHẬN policy ta: cà phê→green 090111 (97.6%); gạo→milled 100630/640 (97.9%, KHÔNG phải paddy). RAC-only paddy bỏ sót 98% gạo VN."
Hejazi-Grant-Peterson2022,HS6,FRESH fruits & vegetables (US),**fresh-only** (RAC ≡ dạng buôn cho FFV),disaggregated BSI index,"""Trade impact of maximum residue limits in **fresh** fruits and vegetables""; bilateral dis(similarity) stringency index by chemical class","Cho FFV tươi (phần lớn panel ta): fresh=RAC=trade → fresh-only chuẩn, không mâu thuẫn."
