round_id,date,actor,source_commit,output_file,main_change,status
001,2026-06-29,GPT-5.5 Pro→cowork,2c0d161,concordance_final_asean.csv,70 lỗi map thật (semantic) đã sửa,accepted
002,2026-06-29,GPT-5.5 Pro→cowork,256e572,concordance_final_asean.csv,sweet-cherry+8 seed/grain split+hygiene; PASS validator,accepted
003,2026-06-29,cowork,256e572,concordance_release_long.csv,release_policy tường minh; khôi phục tea/coffee/cocoa/hops/carob/algae; build+validate scripts,accepted; policy pending
004,2026-06-29,GPT eval→cowork,256e572→(next push),concordance_release_long.csv,fix script paths+source-sync; cứu strawberries (luật có-con-thật); apply TRADE_COVERAGE nuts+spices; presence-check validator,accepted; CORE_RAC robustness pending
005,2026-06-29,Opus→cowork,256e572,concordance_final_asean.csv,"Opus độc lập: hội tụ round-4, +17 adjudication, reorder cinnamon/coconut RAC",accepted_applied
006,2026-06-30,GPT→cowork,8031e3f..57f0722,concordance_release_long.csv,terminal-commodity bug fix (durian/pumpkin) + literature synthesis (TRADE_COVERAGE grounded),accepted_applied
007,2026-06-30,GPT→cowork,57f0722→0d4ed0,release_long + core_rac,"housekeeping: allspice+090422, CORE_RAC release, validator con-thật, logs/adjudication/synthesis",accepted_applied
008,2026-06-30,GPT→cowork,0d4ed0→(next),release_core_rac.csv,CORE_RAC fix wheat 100199 + cotton 120729 (commodity-first); CORE_RAC validator + CI workflow; provenance commit,accepted_applied
009,2026-06-30,GPT→cowork,70f6ff4→(next),reproducibility_package_report.md,end-to-end repro report (inventory/freeze/cleaning/imputation/merge-keys/rebuild/status); flag 2 missing panel-build scripts,accepted_applied
010,2026-06-30,GPT→cowork,70f6ff4→(next),"build_asean_{mrl,baci}_panel.py + compare + diagnoses","panel rebuild test: BACI legacy exact 0-diff; MRL intentional-diff; β robustness: common-107-HS6 old=new=−1.52*** (concordance immaterial to β), ≈0 specs = aggregation artifact (081090)",accepted_applied
