eu_code,eu_desc,current_hs6_in_pushed_file,gpt_assessment,recommended_hs6_or_policy,action_type,priority,reason,evidence_or_hs2012_basis,pipeline_target,policy_note,source_concordance_sha,source_concordance_url,source_hs2012_url,source_annex_url,reviewer,review_date
BULK_RULE_007,HS2012 existence and format,any nonblank hs6 token,PIPELINE,must match six digits and exist in product_codes_HS12_V202601.csv,CI_VALIDATION,P0,This blocks invalid HS6 tokens and prevents accidental semicolon strings from being treated as one code.,Pipeline rule proposed by GPT; implement in scripts/validate_*.py and build_release.py.,pipeline/rules/scripts,bulk_rule,bc546a073d8dabec38a4181bb93dcc30f4d8cdc4,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/data/concordance_final_asean.csv,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/sources/product_codes_HS12_V202601.csv,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/sources/annex1_species_to_code.csv,GPT-5.5 Pro,2026-06-28
0500010,Barley,100310; 100390,NGỜ,100310;100390,EXPLODE_TO_RELEASE_LONG,P0,Current barley split is conceptually reasonable; normalize to long format.,Pipeline rule: release_long must have exactly one HS6 per row; never merge trade data on a semicolon-delimited field.,concordance_final_asean.csv,,bc546a073d8dabec38a4181bb93dcc30f4d8cdc4,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/data/concordance_final_asean.csv,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/sources/product_codes_HS12_V202601.csv,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/sources/annex1_species_to_code.csv,GPT-5.5 Pro,2026-06-28
0500060,Rice,100610;100620;100630;100640,NGỜ,100610;100620;100630;100640,EXPLODE_TO_RELEASE_LONG,P0,Current one-to-many mapping is conceptually reasonable but must not remain as semicolon text in a trade merge key.,Pipeline rule: release_long must have exactly one HS6 per row; never merge trade data on a semicolon-delimited field.,concordance_final_asean.csv,,bc546a073d8dabec38a4181bb93dcc30f4d8cdc4,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/data/concordance_final_asean.csv,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/sources/product_codes_HS12_V202601.csv,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/sources/annex1_species_to_code.csv,GPT-5.5 Pro,2026-06-28
0500090,Wheat,100111; 100119; 100191; 100199,NGỜ,100111;100119;100191;100199,EXPLODE_TO_RELEASE_LONG,P0,Current wheat split covers durum/common seed and non-seed wheat; normalize to long format.,Pipeline rule: release_long must have exactly one HS6 per row; never merge trade data on a semicolon-delimited field.,concordance_final_asean.csv,,bc546a073d8dabec38a4181bb93dcc30f4d8cdc4,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/data/concordance_final_asean.csv,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/sources/product_codes_HS12_V202601.csv,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/sources/annex1_species_to_code.csv,GPT-5.5 Pro,2026-06-28
0610000,Teas,090210;090220;090230;090240,NGỜ,090210;090220;090230;090240,EXPLODE_TO_RELEASE_LONG,P0,Tea split covers green/black and package-size splits; normalize to long format.,Pipeline rule: release_long must have exactly one HS6 per row; never merge trade data on a semicolon-delimited field.,concordance_final_asean.csv,,bc546a073d8dabec38a4181bb93dcc30f4d8cdc4,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/data/concordance_final_asean.csv,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/sources/product_codes_HS12_V202601.csv,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/sources/annex1_species_to_code.csv,GPT-5.5 Pro,2026-06-28
0810000,Seed spices,090921,SAI,NO_DIRECT_GROUP_MAP; use children under 0810xxx,GROUP_HEADING_DO_NOT_EXPORT,P0,"Current group anchor 090921 is coriander seed only. The group includes anise, celery, coriander, cumin, dill, fennel, fenugreek, nutmeg and others, spanning several HS codes.","HS2012 seed-spice codes include 090921/090922, 090931/090932, 090961/090962, 091099, 090811/090812 etc.",concordance_final_asean.csv,,bc546a073d8dabec38a4181bb93dcc30f4d8cdc4,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/data/concordance_final_asean.csv,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/sources/product_codes_HS12_V202601.csv,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/sources/annex1_species_to_code.csv,GPT-5.5 Pro,2026-06-28
0820000,Fruit spices,090411,SAI,NO_DIRECT_GROUP_MAP; use children under 0820xxx,GROUP_HEADING_DO_NOT_EXPORT,P0,"Current group anchor 090411 is Piper nigrum pepper only. Fruit spices include allspice, Sichuan pepper, cardamom, juniper, peppercorn, vanilla, tamarind and others.","HS2012 spans 090411/090412, 090421/090422, 090510/090520, 090831/090832, 090961/090962, 091099.",concordance_final_asean.csv,,bc546a073d8dabec38a4181bb93dcc30f4d8cdc4,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/data/concordance_final_asean.csv,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/sources/product_codes_HS12_V202601.csv,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/sources/annex1_species_to_code.csv,GPT-5.5 Pro,2026-06-28
0840000,Root and rhizome spices,091020,SAI,"NO_DIRECT_GROUP_MAP; use children: 0840010,0840020,0840030,0840040,0840990",GROUP_HEADING_DO_NOT_EXPORT,P0,"Current group anchor 091020 is saffron, not root/rhizome spices. This heading should not be exported as a single HS6 row.","Children currently map across liquorice, ginger, turmeric, horseradish and other root/rhizome spices.",concordance_final_asean.csv,,bc546a073d8dabec38a4181bb93dcc30f4d8cdc4,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/data/concordance_final_asean.csv,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/sources/product_codes_HS12_V202601.csv,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/sources/annex1_species_to_code.csv,GPT-5.5 Pro,2026-06-28
BULK_RULE_002,No stale NO_HS6 flag when hs6 is populated,needs_review == NO_HS6 and hs6 nonempty,PIPELINE,clear NO_HS6 or set to resolved/adjudicate,METADATA_VALIDATION,P0,"Rows such as HOPS, Cocoa beans, Algae and Carobs now have hs6 populated but still carry NO_HS6 metadata. This confuses downstream review state.",Pipeline rule proposed by GPT; implement in scripts/validate_*.py and build_release.py.,pipeline/rules/scripts,bulk_rule,bc546a073d8dabec38a4181bb93dcc30f4d8cdc4,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/data/concordance_final_asean.csv,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/sources/product_codes_HS12_V202601.csv,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/sources/annex1_species_to_code.csv,GPT-5.5 Pro,2026-06-28
BULK_RULE_003,Regenerate hs6_lumped after hs6 changes,hs6_lumped points to old code,PIPELINE,regenerate or blank stale lumped marker,METADATA_VALIDATION,P0,Many rows now have corrected hs6 but hs6_lumped still says e.g. old 071331/070930/070410 anchors. Treat this as stale metadata.,Pipeline rule proposed by GPT; implement in scripts/validate_*.py and build_release.py.,pipeline/rules/scripts,bulk_rule,bc546a073d8dabec38a4181bb93dcc30f4d8cdc4,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/data/concordance_final_asean.csv,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/sources/product_codes_HS12_V202601.csv,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/sources/annex1_species_to_code.csv,GPT-5.5 Pro,2026-06-28
